Occupation code,Occupation title,Level,Employment,Annual mean wage
49-2020,Radio and Telecommunications Equipment Ins...,broad,203730,"$61,900"
49-2021,"Radio, Cellular, and Tower Equipment Insta...",detail,13210,"$60,790"
49-2022,Telecommunications Equipment Installers an...,detail,190510,"$61,980"
49-2090,Miscellaneous Electrical and Electronic Eq...,broad,230350,"$58,850"
49-2091,Avionics Technicians,detail,21390,"$69,180"
49-2092,"Electric Motor, Power Tool, and Related Re...",detail,15380,"$49,250"
49-2093,Electrical and Electronics Installers and ...,detail,10390,"$70,440"
49-2094,"Electrical and Electronics Repairers, Comm...",detail,55200,"$63,350"
49-2095,"Electrical and Electronics Repairers, Powe...",detail,23070,"$83,150"
49-2096,Electronic Equipment Installers and Repair...,detail,10230,"$41,250"
49-2097,Audiovisual Equipment Installers and Repai...,detail,25760,"$44,850"
49-2098,Security and Fire Alarm Systems Installers,detail,68920,"$52,150"
49-3000,"Vehicle and Mobile Equipment Mechanics, In...",minor,1553160,"$49,420"
49-3011,Aircraft Mechanics and Service Technicians,detail,128300,"$69,040"
49-3020,Automotive Technicians and Repairers,broad,775710,"$47,060"
49-3021,Automotive Body and Related Repairers,detail,137120,"$49,430"
49-3022,Automotive Glass Installers and Repairers,detail,18490,"$39,660"
49-3023,Automotive Service Technicians and Mechanics,detail,620110,"$46,760"
49-3031,Bus and Truck Mechanics and Diesel Engine ...,detail,253010,"$52,090"
49-3040,Heavy Vehicle and Mobile Equipment Service...,broad,205720,"$55,110"
49-3041,Farm Equipment Mechanics and Service Techn...,detail,35720,"$45,350"
49-3042,"Mobile Heavy Equipment Mechanics, Except E...",detail,147680,"$57,000"
49-3043,Rail Car Repairers,detail,22310,"$58,250"
49-3050,Small Engine Mechanics,broad,65430,"$41,360"
49-3051,Motorboat Mechanics and Service Technicians,detail,20440,"$45,490"
49-3052,Motorcycle Mechanics,detail,13490,"$40,390"
49-3053,Outdoor Power Equipment and Other Small En...,detail,31500,"$39,090"
49-3090,Miscellaneous Vehicle and Mobile Equipment...,broad,124990,"$33,400"
49-3091,Bicycle Repairers,detail,11290,"$33,530"
49-3092,Recreational Vehicle Service Technicians,detail,15150,"$43,790"
49-3093,Tire Repairers and Changers,detail,98560,"$31,790"
49-9000,"Other Installation, Maintenance, and Repai...",minor,2932770,"$49,650"
49-9010,Control and Valve Installers and Repairers,broad,73340,"$57,120"
49-9011,Mechanical Door Repairers,detail,22680,"$45,350"
49-9012,Control and Valve Installers and Repairers...,detail,50660,"$62,400"
49-9021,"Heating, Air Conditioning, and Refrigerati...",detail,344020,"$53,410"
49-9031,Home Appliance Repairers,detail,27640,"$43,810"
49-9040,"Industrial Machinery Installation, Repair,...",broad,496380,"$56,790"
49-9041,Industrial Machinery Mechanics,detail,385980,"$57,350"
49-9043,"Maintenance Workers, Machinery",detail,65240,"$51,960"
49-9044,Millwrights,detail,44400,"$59,080"
49-9045,"Refractory Materials Repairers, Except Bri...",detail,760,"$55,080"
49-9050,Line Installers and Repairers,broad,237420,"$67,940"
