Occupation code,Occupation title,Level,Employment,Annual mean wage
31-1131,Nursing Assistants,detail,1371050,"$32,050"
31-1132,Orderlies,detail,43570,"$31,780"
31-1133,Psychiatric Aides,detail,51550,"$33,300"
31-2000,Occupational Therapy and Physical Therapis...,minor,186900,"$52,400"
31-2010,Occupational Therapy Assistants and Aides,broad,48380,"$60,010"
31-2011,Occupational Therapy Assistants,detail,42750,"$63,420"
31-2012,Occupational Therapy Aides,detail,5630,"$34,160"
31-2020,Physical Therapist Assistants and Aides,broad,138520,"$49,750"
31-2021,Physical Therapist Assistants,detail,92740,"$59,440"
31-2022,Physical Therapist Aides,detail,45790,"$30,110"
31-9000,Other Healthcare Support Occupations,minor,1576220,"$38,540"
31-9011,Massage Therapists,detail,85040,"$47,350"
31-9090,Miscellaneous Healthcare Support Occupations,broad,1491180,"$38,030"
31-9091,Dental Assistants,detail,312140,"$42,310"
31-9092,Medical Assistants,detail,710200,"$36,930"
31-9093,Medical Equipment Preparers,detail,56870,"$41,070"
31-9094,Medical Transcriptionists,detail,49530,"$37,310"
31-9095,Pharmacy Aides,detail,38900,"$32,250"
31-9096,Veterinary Assistants and Laboratory Anima...,detail,98810,"$30,980"
31-9097,Phlebotomists,detail,128020,"$37,280"
31-9099,"Healthcare Support Workers, All Other",detail,96720,"$41,430"
33-0000,Protective Service Occupations,major,3351180,"$52,220"
33-1000,Supervisors of Protective Service Workers,minor,323580,"$79,080"
33-1010,First-Line Supervisors of Law Enforcement ...,broad,175730,"$88,190"
33-1011,First-Line Supervisors of Correctional Off...,detail,53420,"$67,600"
33-1012,First-Line Supervisors of Police and Detec...,detail,122310,"$97,180"
33-1021,First-Line Supervisors of Firefighting and...,detail,69000,"$83,170"
33-1090,"Miscellaneous First-Line Supervisors, Prot...",broad,78860,"$55,210"
33-2000,Firefighting and Prevention Workers,minor,328260,"$56,800"
33-2011,Firefighters,detail,311350,"$56,360"
33-2020,Fire Inspectors,broad,16920,"$65,010"
33-2021,Fire Inspectors and Investigators,detail,14010,"$67,680"
33-2022,Forest Fire Inspectors and Prevention Spec...,detail,2900,"$52,130"
33-3000,Law Enforcement Workers,minor,1203450,"$65,240"
33-3010,"Bailiffs, Correctional Officers, and Jailers",broad,423980,"$52,310"
33-3011,Bailiffs,detail,18120,"$51,730"
33-3012,Correctional Officers and Jailers,detail,405870,"$52,340"
33-3021,Detectives and Criminal Investigators,detail,105980,"$89,300"
33-3031,Fish and Game Wardens,detail,7230,"$57,810"
33-3041,Parking Enforcement Workers,detail,7560,"$44,870"
33-3050,Police Officers,broad,658700,"$70,010"
33-3051,Police and Sheriff's Patrol Officers,detail,654900,"$70,000"
33-3052,Transit and Railroad Police,detail,3800,"$71,000"
33-9000,Other Protective Service Workers,minor,1495880,"$34,940"
33-9011,Animal Control Workers,detail,11580,"$40,680"
33-9021,Private Detectives and Investigators,detail,32200,"$60,100"
33-9030,Security Guards and Gambling Surveillance ...,broad,1062740,"$34,410"
33-9031,Gambling Surveillance Officers and Gamblin...,detail,8340,"$39,910"
33-9032,Security Guards,detail,1054400,"$34,360"
33-9090,Miscellaneous Protective Service Workers,broad,389350,"$34,140"
33-9091,Crossing Guards and Flaggers,detail,85050,"$34,220"
33-9092,"Lifeguards, Ski Patrol, and Other Recreati...",detail,113150,"$27,050"
33-9093,Transportation Security Screeners,detail,46850,"$44,920"
33-9098,School Bus Monitors and Protective Service...,detail,144310,"$36,140"
35-0000,Food Preparation and Serving Related Occup...,major,11262850,"$27,650"
35-1010,Supervisors of Food Preparation and Servin...,broad,993030,"$40,010"
35-1011,Chefs and Head Cooks,detail,101490,"$58,740"
35-1012,First-Line Supervisors of Food Preparation...,detail,891540,"$37,880"
35-2000,Cooks and Food Preparation Workers,minor,2977730,"$27,820"
35-2010,Cooks,broad,2184130,"$28,180"
35-2011,"Cooks, Fast Food",detail,544420,"$24,300"
35-2012,"Cooks, Institution and Cafeteria",detail,387300,"$29,940"
35-2013,"Cooks, Private Household",detail,320,"$46,810"
35-2014,"Cooks, Restaurant",detail,1109650,"$29,530"
35-2015,"Cooks, Short Order",detail,123350,"$27,030"
35-2019,"Cooks, All Other",detail,19080,"$32,350"
35-2021,Food Preparation Workers,detail,793590,"$26,820"
35-3000,Food and Beverage Serving Workers,minor,6135730,"$25,930"
35-3011,Bartenders,detail,486720,"$28,910"
35-3023,Fast Food and Counter Workers,detail,3450120,"$24,540"
35-3031,Waiters and Waitresses,detail,1944240,"$27,470"
35-3041,"Food Servers, Nonrestaurant",detail,254650,"$27,460"
35-9000,Other Food Preparation and Serving Related...,minor,1156370,"$25,740"
35-9011,Dining Room and Cafeteria Attendants and B...,detail,374940,"$26,300"
35-9021,Dishwashers,detail,395660,"$25,600"
35-9031,"Hosts and Hostesses, Restaurant, Lounge, a...",detail,316700,"$24,800"
35-9099,Food Preparation and Serving Related Worke...,detail,69070,"$27,880"
37-0000,Building and Grounds Cleaning and Maintena...,major,4090370,"$32,760"
37-1010,First-Line Supervisors of Building and Gro...,broad,244990,"$49,110"
37-1011,First-Line Supervisors of Housekeeping and...,detail,141260,"$45,500"
37-1012,"First-Line Supervisors of Landscaping, Law...",detail,103730,"$54,040"
37-2000,Building Cleaning and Pest Control Workers,minor,2882710,"$30,760"
37-2010,Building Cleaning Workers,broad,2803150,"$30,490"
37-2011,"Janitors and Cleaners, Except Maids and Ho...",detail,1990510,"$31,410"
37-2012,Maids and Housekeeping Cleaners,detail,795590,"$28,010"
37-2019,"Building Cleaning Workers, All Other",detail,17050,"$38,860"
37-2021,Pest Control Workers,detail,79560,"$40,350"
37-3010,Grounds Maintenance Workers,broad,962670,"$34,590"
37-3011,Landscaping and Groundskeeping Workers,detail,872370,"$33,800"
37-3012,"Pesticide Handlers, Sprayers, and Applicat...",detail,23950,"$39,130"
37-3013,Tree Trimmers and Pruners,detail,52040,"$44,040"
37-3019,"Grounds Maintenance Workers, All Other",detail,14310,"$40,270"
39-0000,Personal Care and Service Occupations,major,2696340,"$32,610"
39-1000,Supervisors of Personal Care and Service W...,minor,193950,"$46,350"
39-1013,First-Line Supervisors of Gambling Service...,detail,19100,"$51,160"
39-1098,First-Line Supervisors of Personal Service...,detail,174860,"$45,820"
39-2000,Animal Care and Service Workers,minor,208540,"$29,060"
39-2011,Animal Trainers,detail,14880,"$37,950"
39-2021,Animal Caretakers,detail,193660,"$28,380"
39-3000,Entertainment Attendants and Related Workers,minor,450630,"$26,560"
39-3010,Gambling Services Workers,broad,83400,"$26,940"
39-3011,Gambling Dealers,detail,67330,"$26,110"
39-3012,Gambling and Sports Book Writers and Runners,detail,7500,"$27,130"
39-3019,"Gambling Service Workers, All Other",detail,8570,"$33,340"
39-3021,Motion Picture Projectionists,detail,2270,"$34,380"
39-3031,"Ushers, Lobby Attendants, and Ticket Takers",detail,95600,"$26,390"
39-3090,Miscellaneous Entertainment Attendants and...,broad,269370,"$26,430"
39-3091,Amusement and Recreation Attendants,detail,248190,"$25,610"
39-3092,Costume Attendants,detail,5750,"$51,780"
39-3093,"Locker Room, Coatroom, and Dressing Room A...",detail,11530,"$29,320"
39-3099,Entertainment Attendants and Related Worke...,detail,3900,"$32,580"
39-4011,Embalmers,detail,3860,"$50,220"
39-4021,Funeral Attendants,detail,32300,"$31,130"
39-4031,"Morticians, Undertakers, and Funeral Arran...",detail,24560,"$59,000"
39-5000,Personal Appearance Workers,minor,448020,"$33,460"
39-5010,"Barbers, Hairdressers, Hairstylists and Co...",broad,317290,"$32,990"
39-5011,Barbers,detail,14880,"$38,050"
39-5012,"Hairdressers, Hairstylists, and Cosmetolog...",detail,302410,"$32,740"
39-5090,Miscellaneous Personal Appearance Workers,broad,130730,"$34,580"
39-5091,"Makeup Artists, Theatrical and Performance",detail,2780,"$99,990"
39-5092,Manicurists and Pedicurists,detail,73010,"$29,010"
39-5093,Shampooers,detail,8310,"$24,320"
39-5094,Skincare Specialists,detail,46640,"$41,230"
39-6010,"Baggage Porters, Bellhops, and Concierges",broad,65240,"$32,580"
39-6011,Baggage Porters and Bellhops,detail,28440,"$29,060"
39-6012,Concierges,detail,36800,"$35,310"
39-7010,Tour and Travel Guides,broad,38030,"$32,200"
39-9011,Childcare Workers,detail,494360,"$26,790"
39-9030,Recreation and Fitness Workers,broad,573720,"$37,310"
39-9031,Exercise Trainers and Group Fitness Instru...,detail,248070,"$45,650"
39-9032,Recreation Workers,detail,325640,"$30,960"
39-9041,Residential Advisors,detail,102450,"$33,430"
39-9098,Crematory Operators and Personal Care and ...,detail,60650,"$30,330"
41-0000,Sales and Related Occupations,major,13120320,"$45,750"
41-1010,First-Line Supervisors of Sales Workers,broad,1303400,"$55,200"
41-1011,First-Line Supervisors of Retail Sales Wor...,detail,1063110,"$47,300"
41-1012,First-Line Supervisors of Non-Retail Sales...,detail,240290,"$90,120"
41-2000,Retail Sales Workers,minor,7628920,"$29,010"
41-2010,Cashiers,broad,3347090,"$25,730"
41-2011,Cashiers,detail,3333100,"$25,710"
41-2012,Gambling Change Persons and Booth Cashiers,detail,14000,"$29,110"
41-2020,Counter and Rental Clerks and Parts Salesp...,broad,622160,"$35,380"
41-2021,Counter and Rental Clerks,detail,368300,"$34,700"
41-2022,Parts Salespersons,detail,253870,"$36,350"
41-2031,Retail Salespersons,detail,3659670,"$30,940"
41-3000,"Sales Representatives, Services",minor,1992540,"$75,170"
41-3011,Advertising Sales Agents,detail,110040,"$68,040"
41-3021,Insurance Sales Agents,detail,409950,"$69,100"
41-3031,"Securities, Commodities, and Financial Ser...",detail,440300,"$96,540"
41-3041,Travel Agents,detail,55180,"$46,650"
41-3091,"Sales Representatives of Services, Except ...",detail,977070,"$70,490"
41-4010,"Sales Representatives, Wholesale and Manuf...",broad,1566820,"$78,310"
41-4011,"Sales Representatives, Wholesale and Manuf...",detail,288150,"$99,680"
41-4012,"Sales Representatives, Wholesale and Manuf...",detail,1278670,"$73,500"
41-9000,Other Sales and Related Workers,minor,628640,"$54,890"
41-9010,"Models, Demonstrators, and Product Promoters",broad,72340,"$37,630"
41-9011,Demonstrators and Product Promoters,detail,69990,"$37,080"
41-9012,Models,detail,2350,"$54,050"
41-9020,Real Estate Brokers and Sales Agents,broad,213350,"$66,890"
41-9021,Real Estate Brokers,detail,44610,"$81,630"
41-9022,Real Estate Sales Agents,detail,168740,"$62,990"
41-9031,Sales Engineers,detail,63780,"$117,270"
41-9041,Telemarketers,detail,117610,"$30,930"
41-9090,Miscellaneous Sales and Related Workers,broad,161550,"$39,590"
41-9091,"Door-to-Door Sales Workers, News and Stree...",detail,8360,"$36,740"
41-9099,"Sales and Related Workers, All Other",detail,153180,"$39,750"
43-0000,Office and Administrative Support Occupati...,major,18548360,"$42,390"
43-1011,First-Line Supervisors of Office and Admin...,detail,1427260,"$62,010"
43-2000,Communications Equipment Operators,minor,66960,"$35,050"
43-2011,"Switchboard Operators, Including Answering...",detail,59270,"$33,980"
43-2021,Telephone Operators,detail,4630,"$39,340"
43-2099,"Communications Equipment Operators, All Ot...",detail,3070,"$49,260"
43-3000,Financial Clerks,minor,2770580,"$41,920"
43-3011,Bill and Account Collectors,detail,222030,"$40,630"
43-3021,Billing and Posting Clerks,detail,445160,"$41,610"
43-3031,"Bookkeeping, Accounting, and Auditing Clerks",detail,1443940,"$44,100"
43-3041,Gambling Cage Workers,detail,10560,"$29,700"
43-3051,Payroll and Timekeeping Clerks,detail,133870,"$48,290"
43-3061,Procurement Clerks,detail,61000,"$45,400"
43-3071,Tellers,detail,423570,"$32,960"
43-3099,"Financial Clerks, All Other",detail,30470,"$46,310"
43-4000,Information and Record Clerks,minor,5480860,"$37,900"
43-4011,Brokerage Clerks,detail,44720,"$58,460"
43-4021,Correspondence Clerks,detail,6150,"$40,070"
43-4031,"Court, Municipal, and License Clerks",detail,156100,"$43,490"
43-4041,"Credit Authorizers, Checkers, and Clerks",detail,24600,"$43,580"
43-4051,Customer Service Representatives,detail,2833250,"$38,510"
43-4061,"Eligibility Interviewers, Government Progr...",detail,138820,"$47,990"
43-4071,File Clerks,detail,91560,"$36,140"
43-4081,"Hotel, Motel, and Resort Desk Clerks",detail,222550,"$26,900"
43-4111,"Interviewers, Except Eligibility and Loan",detail,173800,"$37,640"
43-4121,"Library Assistants, Clerical",detail,84560,"$30,740"
43-4131,Loan Interviewers and Clerks,detail,204100,"$42,780"
43-4141,New Accounts Clerks,detail,45250,"$39,870"
43-4151,Order Clerks,detail,119640,"$37,660"
